id,name,title,cost,inkwell,attack,defence,color,type,action,flavour,separator,stars,illustrator,card_set_id,language,number,pack,rarity,image,blurhash,franchise_id,final,spoiler,created_at,updated_at,traits,prices,franchise,languages
113,Pongo,Ol' Rascal,4,1,2,3,1,glimmer,<b>Evasive</b> (<i>Only characters with Evasive can challenge this character.</i>),"“At first I had no particular plan, just anything to attract attention. You know, stir things up a bit.”",book,2,Brian Weisz,2,EN,120,204,common,https://images.lorcania.com/cards/tfc/120_en_pongo-716.webp,,4,1,0,2023-07-07T18:50:11.000000Z,2023-07-07T18:50:11.000000Z,"['Hero', 'Storyborn']",0.25,"{'id': 4, 'name': '101 Dalmatians', 'slug': '101-dalmatians', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2F101_Dalmatiner.png'}","{'EN': {'card_id': 113, 'language': 'EN', 'name': 'Pongo', 'title': ""Ol' Rascal"", 'action': '<b>Evasive</b> (<i>Only characters with Evasive can challenge this character.</i>)', 'flavour': '“At first I had no particular plan, just anything to attract attention. You know, stir things up a bit.”', 'image': 'https://images.lorcania.com/cards/tfc/120_en_pongo-716.webp'}, 'DE': {'card_id': 113, 'language': 'DE', 'name': 'Pongo', 'title': 'Alter Gauner', 'action': '<b>Wendig</b> (<i>Nur Charaktere mit Wendig können diesen Charakter herausfordern.</i>)', 'flavour': '„Nun brauche ich nur noch einen Einfall, irgendetwas, das seine Aufmerksamkeit erregen würde, damit die Geschichte in Gang kommt.“', 'image': 'https://images.lorcania.com/cards/tfc/120_de_pongo-716.webp'}, 'FR': {'card_id': 113, 'language': 'FR', 'name': 'Pongo', 'title': 'Sacripant', 'action': '<b>Insaisissable</b> (<i>Seuls les personnages avec\nInsaisissable peuvent défier ce personnage.</i>)', 'flavour': '""A vrai dire, je n\'avais établi aucun plan… enfin je…, je cherchais à attirer l\'attention. Vous savez… histoire de créer une ambiance.""', 'image': 'https://images.lorcania.com/cards/tfc/120_fr_pongo-716.webp'}}"
114,Lilo,Making a Wish,1,0,1,1,4,glimmer,,“A falling star . . . I have to make a wish!”,book,2,Dave Beauchene,2,EN,9,204,rare,https://images.lorcania.com/cards/tfc/9_en_lilo-716.webp,,2,1,0,2023-07-09T21:31:36.000000Z,2023-07-09T21:31:36.000000Z,"['Hero', 'Storyborn']",25,"{'id': 2, 'name': 'Lilo and Stitch', 'slug': 'lilo-and-stitch', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FLilo_and_Stitch.png'}","{'EN': {'card_id': 114, 'language': 'EN', 'name': 'Lilo', 'title': 'Making a Wish', 'action': None, 'flavour': '“A falling star . . . I have to make a wish!”', 'image': 'https://images.lorcania.com/cards/tfc/9_en_lilo-716.webp'}, 'DE': {'card_id': 114, 'language': 'DE', 'name': 'Lilo', 'title': 'Wünscht sich was', 'action': None, 'flavour': '„Eine Sternschnuppe! Zuerst gesehen! Raus, geh raus! Ich muss mir was wünschen!”', 'image': 'https://images.lorcania.com/cards/tfc/9_de_lilo-716.webp'}, 'FR': {'card_id': 114, 'language': 'FR', 'name': 'Lilo', 'title': 'Faisant un voeu', 'action': None, 'flavour': '""Une étoile filaaante ! J\'l\'ai vue la première ! Sors, sors vite, je dois faire un voeu !""', 'image': 'https://images.lorcania.com/cards/tfc/9_fr_lilo-716.webp'}}"
115,Flotsam,Ursula's Spy,5,0,3,4,5,glimmer,<b>Rush</b> <i>(This character can challenge the turn they're played.)</i><br /><mark>DEXTEROUS LUNGE</mark> Your characters named Jetsam gain <b>Rush.</b>,“We know someone who can help you . . . for a price.”,pen,2,Luis Huerta,2,EN,43,204,rare,https://images.lorcania.com/cards/tfc/43_en_flotsam-716.webp,,21,1,0,2023-07-10T16:27:19.000000Z,2023-07-10T16:27:19.000000Z,"['Ally', 'Storyborn']",0.69,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 115, 'language': 'EN', 'name': 'Flotsam', 'title': ""Ursula's Spy"", 'action': ""<b>Rush</b> <i>(This character can challenge the turn they're played.)</i><br /><mark>DEXTEROUS LUNGE</mark> Your characters named Jetsam gain <b>Rush.</b>"", 'flavour': '“We know someone who can help you . . . for a price.”', 'image': 'https://images.lorcania.com/cards/tfc/43_en_flotsam-716.webp'}, 'DE': {'card_id': 115, 'language': 'DE', 'name': 'Abschaum', 'title': 'Ursulas Spion', 'action': '<b>Rasant</b> <i>(Dieser Charakter kann im selben Zug herausfordern, in dem er ausgespielt wird.)</i><br /><mark>FLINK UND HINTERHÄLTIG</mark> Deine Meerschaum-Charaktere erhalten <b>Rasant.</b>', 'flavour': '„Wir kennen jemanden, der dir helfen kann ... zu einem bestimmten Preis.“', 'image': 'https://images.lorcania.com/cards/tfc/43_de_flotsam-716.webp'}, 'FR': {'card_id': 115, 'language': 'FR', 'name': 'Flotsam', 'title': ""Espion d'Ursula"", 'action': '<b>Charge</b> <i>(Ce personnage peut défier le tour où il est joué.)</i><br /><mark>COUP BAS</mark> Vos personnages Jetsam gagnent  <b>Charge</b>.', 'flavour': '""Nous connaissons quelqu\'un qui t\'aider...à certaines conditions.""', 'image': 'https://images.lorcania.com/cards/tfc/43_fr_flotsam-716.webp'}}"
116,Jetsam,Ursula's Spy,4,1,3,3,5,glimmer,<b>Evasive</b> <i>(Only characters with Evasive can challenge this character.)</i><br /><mark>SINISTER SLITHER</mark> Your characters named Flotsam gain <b>Evasive.</b>,“We can help you get anything you want. . . .”,pen,1,Brian Weisz,2,EN,46,204,common,https://images.lorcania.com/cards/tfc/46_en_jetsam-716.webp,,21,1,0,2023-07-10T16:31:23.000000Z,2023-07-10T16:31:23.000000Z,"['Ally', 'Storyborn']",0.25,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 116, 'language': 'EN', 'name': 'Jetsam', 'title': ""Ursula's Spy"", 'action': '<b>Evasive</b> <i>(Only characters with Evasive can challenge this character.)</i><br /><mark>SINISTER SLITHER</mark> Your characters named Flotsam gain <b>Evasive.</b>', 'flavour': '“We can help you get anything you want. . . .”', 'image': 'https://images.lorcania.com/cards/tfc/46_en_jetsam-716.webp'}, 'DE': {'card_id': 116, 'language': 'DE', 'name': 'Meerschaum', 'title': 'Ursulas Spion', 'action': '<b>Wendig</b> <i>(Nur Charaktere mit Wendig können diesen Charakter herausfordern.)</i><br /><mark>FIES UND GLITSCHIG</mark> Deine Abschaum-Charaktere erhalten <b>Wendig.</b>', 'flavour': '„Wir können dir helfen, alles zu bekommen, was du willst.“', 'image': 'https://images.lorcania.com/cards/tfc/46_de_jetsam-716.webp'}, 'FR': {'card_id': 116, 'language': 'FR', 'name': 'Jetsam', 'title': ""Espion d'Ursula"", 'action': '<b>Insaisissable</b> <i>(Seuls les personnages avec Insaisissable peuvent défier ce personnage.)</i><br /><mark>SINISTRE ONDULATION</mark> Vos personnages Flotsam gagnent <b>Insaisissable</b>.', 'flavour': ""“Nous pouvons t'aider à obtenir tout ce que tu désires”"", 'image': 'https://images.lorcania.com/cards/tfc/46_fr_jetsam-716.webp'}}"
117,Triton,The Sea King,7,1,5,9,2,glimmer,,“Isn't ‘Because I said so’ enough of a reason?”,pen,2,Cristian Romero,2,EN,160,204,uncommon,https://images.lorcania.com/cards/tfc/160_en_triton-716.webp,,21,1,0,2023-07-11T16:45:33.000000Z,2023-07-11T16:45:33.000000Z,"['King', 'Storyborn']",0.36,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 117, 'language': 'EN', 'name': 'Triton', 'title': 'The Sea King', 'action': None, 'flavour': ""“Isn't ‘Because I said so’ enough of a reason?”"", 'image': 'https://images.lorcania.com/cards/tfc/160_en_triton-716.webp'}, 'DE': {'card_id': 117, 'language': 'DE', 'name': 'Triton', 'title': 'König Triton', 'action': None, 'flavour': '„Ist ‚Weil ich es sage‘ nicht Grund genug?“', 'image': 'https://images.lorcania.com/cards/tfc/160_de_triton-716.webp'}, 'FR': {'card_id': 117, 'language': 'FR', 'name': 'Triton', 'title': 'Roi des Océans', 'action': None, 'flavour': '""Parce que je l\'ai dit  ! N\'est-ce pas suffisant comme raison ?""', 'image': 'https://images.lorcania.com/cards/tfc/160_fr_triton-716.webp'}}"
118,Grab Your Sword,,5,0,,,6,song,<i>(A character with cost 5 or more can ↷ to sing this song for free.)</i><br />Deal 2 damage to each opposing character.,"We don't likewhat we don't understandIn fact, it scares us",clef,0,Peter Brockhammer,2,EN,198,204,rare,https://images.lorcania.com/cards/tfc/198_en_grab_your_sword-716.webp,,14,1,0,2023-07-11T21:19:51.000000Z,2023-07-11T21:19:51.000000Z,"['Action', 'Song']",6.02,"{'id': 14, 'name': 'Beauty & the Beast', 'slug': 'beauty-and-the-beast', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FBeauty_and_the_Beast.png'}","{'EN': {'card_id': 118, 'language': 'EN', 'name': 'Grab Your Sword', 'title': None, 'action': '<i>(A character with cost 5 or more can ↷ to sing this song for free.)</i><br />Deal 2 damage to each opposing character.', 'flavour': ""We don't like\nwhat we don't understand\nIn fact, it scares us"", 'image': 'https://images.lorcania.com/cards/tfc/198_en_grab_your_sword-716.webp'}, 'DE': {'card_id': 118, 'language': 'DE', 'name': 'Nehmt das Schwert', 'title': None, 'action': '<i>(Du kannst einen Charakter, der 5 oder mehr kostet, ↷, damit er dieses Lied kostenlos singt.)</i><br />Füge jedem gegnerischen Charakter 2 Schaden zu.', 'flavour': ""Wir versteh'n das zwar nicht, doch dies Monster ist so schrecklich, dass das Blut in unseren Adern kaum noch fließt."", 'image': 'https://images.lorcania.com/cards/tfc/198_de_grab_your_sword-716.webp'}, 'FR': {'card_id': 118, 'language': 'FR', 'name': 'Tuons la Bête', 'title': None, 'action': '<i>( Vous pouvez ↷ un personnage coûtant 5 ou plus pour chanter cette chanson gratuitement.)</i><br />Infligez 2 dommages à chaque personnage adverse.', 'flavour': ""L'inconnu nous effraie, l'imprévu nous terrorise. Et cette chose mystérieuse nous inquiète. Compagnons, à vos armes !"", 'image': 'https://images.lorcania.com/cards/tfc/198_fr_grab_your_sword-716.webp'}}"
119,Anna,Heir to Arendelle,4,1,2,4,5,glimmer,"<mark>LOVING HEART</mark> When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn't ready at the start of their next turn.","“Two sisters, one mind.”",book,2,Valerio Buonfantino,2,EN,35,204,uncommon,https://images.lorcania.com/cards/tfc/35_en_anna-716.webp,,3,1,0,2023-07-13T17:28:20.000000Z,2023-07-13T17:28:20.000000Z,"['Hero', 'Storyborn', 'Queen']",0.5,"{'id': 3, 'name': 'Frozen', 'slug': 'frozen', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FFrozen.png'}","{'EN': {'card_id': 119, 'language': 'EN', 'name': 'Anna', 'title': 'Heir to Arendelle', 'action': ""<mark>LOVING HEART</mark> When you play this character, if you have a character named Elsa in play, choose an opposing character. The chosen character doesn't ready at the start of their next turn."", 'flavour': '“Two sisters, one mind.”', 'image': 'https://images.lorcania.com/cards/tfc/35_en_anna-716.webp'}, 'DE': {'card_id': 119, 'language': 'DE', 'name': 'Anna', 'title': 'Thronfolgerin von Arendelle', 'action': '<mark>LIEBEVOLLES HERZ</mark> Wenn du diesen Charakter ausspielst und einen Elsa-Charakter im Spiel hast, wähle einen gegnerischen Charakter. Er wird zu Beginn seines nächsten Zuges nicht bereit gemacht.', 'flavour': '„Zwei Schwestern, ein Gedanke“', 'image': 'https://images.lorcania.com/cards/tfc/35_de_anna-716.webp'}, 'FR': {'card_id': 119, 'language': 'FR', 'name': 'Anna', 'title': ""Héritière d'Arendelle"", 'action': '<mark>AMOUR SINCERE</mark>. Si vous avez un personnage Elsa en jeu lorsque vous jouez ce personnage, vous pouvez choisir un personnage adverse. Celui-ci ne sera pas redressé au début de son prochain tour.', 'flavour': '""Deux soeurs, deux âmes synchronisées.""', 'image': 'https://images.lorcania.com/cards/tfc/35_fr_anna-716.webp'}}"
120,Ariel,Spectacular Singer,3,1,2,3,4,glimmer,"<b>Singer</b> 5 <i>(This character counts as cost 5 to sing songs.)</i><br /><mark>MUSICAL DEBUT</mark> When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.",,book,1,Alice Pisoni,2,EN,2,204,super_rare,https://images.lorcania.com/cards/tfc/2_en_ariel-716.webp,,21,1,0,2023-07-13T17:53:53.000000Z,2023-07-13T17:53:53.000000Z,"['Hero', 'Princess', 'Storyborn']",7,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 120, 'language': 'EN', 'name': 'Ariel', 'title': 'Spectacular Singer', 'action': '<b>Singer</b> 5 <i>(This character counts as cost 5 to sing songs.)</i><br /><mark>MUSICAL DEBUT</mark> When you play this character, look at the top 4 cards of your deck. You may reveal a song card and put it into your hand. Put the rest on the bottom of your deck in any order.', 'flavour': None, 'image': 'https://images.lorcania.com/cards/tfc/2_en_ariel-716.webp'}, 'DE': {'card_id': 120, 'language': 'DE', 'name': 'Arielle', 'title': 'Spektakuläre Sängerin', 'action': '<b>Singen</b> 5 <i>(Die Kosten dieses Charakters gelten als 5 für das Singen von Liedern.)</i><br /><mark>MUSIKALISCHES DEBÜT</mark> Wenn du diesen Charakter ausspielst, schaue dir die obersten 4 Karten deines Decks an. Du darfst 1 Liedkarte daraus aufdecken und auf deine Hand nehmen. Lege die restlichen Karten in beliebiger Reihenfolge unter dein Deck.', 'flavour': None, 'image': 'https://images.lorcania.com/cards/tfc/2_de_ariel-716.webp'}, 'FR': {'card_id': 120, 'language': 'FR', 'name': 'Ariel', 'title': 'Chanteuse Exceptionnelle', 'action': ""<b>Mélomane</b> 5 <i>Ce personnage est considéré comme ayant un coût pour chanter des chansons.)</i><br /><mark>DEBUT MUSICAUX</mark> Lorsque vous jouez ce personnage, regardez les 4 premières cartes de votre pioche.\nVous pouvez révéler une carte chanson parmi elles et l'ajouter à votre main. Remettez les autres sous votre pioche, dans l'ordre de votre choix."", 'flavour': None, 'image': 'https://images.lorcania.com/cards/tfc/2_fr_ariel-716.webp'}}"
121,Gaston,Arrogant Hunter,2,1,4,2,1,glimmer,<b>Reckless</b> <i>(This character can't quest and must challenge each turn if able.)</i>,It's not arrogance when you really <b>are</b> the best.,pen,0,Matthew Robert Davies,2,EN,110,204,common,https://images.lorcania.com/cards/tfc/110_en_gaston-716.webp,,14,1,0,2023-07-14T07:20:42.000000Z,2023-07-14T07:20:42.000000Z,"['Storyborn', 'Villain']",0.49,"{'id': 14, 'name': 'Beauty & the Beast', 'slug': 'beauty-and-the-beast', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FBeauty_and_the_Beast.png'}","{'EN': {'card_id': 121, 'language': 'EN', 'name': 'Gaston', 'title': 'Arrogant Hunter', 'action': ""<b>Reckless</b> <i>(This character can't quest and must challenge each turn if able.)</i>"", 'flavour': ""It's not arrogance when you really <b>are</b> the best."", 'image': 'https://images.lorcania.com/cards/tfc/110_en_gaston-716.webp'}, 'DE': {'card_id': 121, 'language': 'DE', 'name': 'Gaston', 'title': 'Arroganter Jäger', 'action': '<b>Impulsiv</b> <i>(Dieser Charakter kann nicht erkunden und muss in jedem Zug herausfordern, wenn möglich.)</i>', 'flavour': 'Es ist keine Arroganz, wenn du <b>wirklich</b> der Beste bist.', 'image': 'https://images.lorcania.com/cards/tfc/110_de_gaston-716.webp'}, 'FR': {'card_id': 121, 'language': 'FR', 'name': 'Gaston', 'title': 'Chasseur Arrogant', 'action': ""<b>Combattant</b> <i>(Ce personnage ne peut pas être envoyé à l'aventure et doit défier à chaque tour s'il le peut.)</i>"", 'flavour': ""Quand on est <b>vraiment</b> le meilleur, ça n'est plus de l'arrogance."", 'image': 'https://images.lorcania.com/cards/tfc/110_fr_gaston-716.webp'}}"
122,Sebastian,Court Composer,2,1,2,2,4,glimmer,<b>Singer</b> 4 <i>(This character counts as cost 4 to sing songs.)</i>,"“I should be writing symphonies, not tagging along after some headstrong teenager.”",book,1,Isaiah Mesq,2,EN,19,204,common,https://images.lorcania.com/cards/tfc/19_en_sebastian-716.webp,,21,1,0,2023-07-14T17:38:23.000000Z,2023-07-14T17:38:23.000000Z,"['Ally', 'Storyborn']",0.25,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 122, 'language': 'EN', 'name': 'Sebastian', 'title': 'Court Composer', 'action': '<b>Singer</b> 4 <i>(This character counts as cost 4 to sing songs.)</i>', 'flavour': '“I should be writing symphonies, not tagging along after some headstrong teenager.”', 'image': 'https://images.lorcania.com/cards/tfc/19_en_sebastian-716.webp'}, 'DE': {'card_id': 122, 'language': 'DE', 'name': 'Sebastian', 'title': 'Hofkomponist', 'action': '<b>Singen</b> 4 <i>(Die Kosten dieses Charakters gelten als 4 für das Singen von Liedern)</i>', 'flavour': '„Ich bin doch für Symphonien zuständig und nicht für hitzköpfige Teenager.“', 'image': 'https://images.lorcania.com/cards/tfc/19_de_sebastian-716.webp'}, 'FR': {'card_id': 122, 'language': 'FR', 'name': 'Sébastien', 'title': 'Compositeur à la Cour', 'action': '<b>Mélomane</b> 4 <i>(Ce personnage est considéré comme ayant un coût de 4 pour chanter des chansons.)</i>', 'flavour': '""Je suis fait pour composer une symphonie, moi, pas pour jouer les nounous avec cette tête de pioche.""', 'image': 'https://images.lorcania.com/cards/tfc/19_fr_sebastian-716.webp'}}"
123,Ursula's Shell Necklace,,3,0,,,4,item,"<mark>NOW, SING!</mark> Whenever you play a song, you may pay 1 <b>⬡</b> to draw a card.",“Singing is a lovely pastime . . . if you've got the voice for it.” −Ursula,pen,0,Jenna Gray,2,EN,34,204,rare,https://images.lorcania.com/cards/tfc/34_en_ursulas_shell_necklace-716.webp,,21,1,0,2023-07-14T18:37:06.000000Z,2023-07-14T18:37:06.000000Z,['Item'],1.01,"{'id': 21, 'name': 'The Little Mermaid', 'slug': 'the-little-mermaid', 'brand': None, 'image': 'https://images.lorcania.com/site/franchises/The_Little_Mermaid.png'}","{'EN': {'card_id': 123, 'language': 'EN', 'name': ""Ursula's Shell Necklace"", 'title': None, 'action': '<mark>NOW, SING!</mark> Whenever you play a song, you may pay 1 <b>⬡</b> to draw a card.', 'flavour': ""“Singing is a lovely pastime . . . if you've got the voice for it.” −Ursula"", 'image': 'https://images.lorcania.com/cards/tfc/34_en_ursulas_shell_necklace-716.webp'}, 'DE': {'card_id': 123, 'language': 'DE', 'name': 'Ursulas Muschel-Halskette', 'title': None, 'action': '<mark>UND JETZT SING!</mark> Jedes Mal, wenn du ein Lied ausspielst, darfst du 1 <b>⬡</b> zahlen, um 1 Karte zu ziehen.', 'flavour': '„Singen ist ein schöner Zeitvertreib ... wenn man die Stimme dafür hat.“ - Ursula', 'image': 'https://images.lorcania.com/cards/tfc/34_de_ursulas_shell_necklace-716.webp'}, 'FR': {'card_id': 123, 'language': 'FR', 'name': ""Pendentif en Coquillage d'Ursula"", 'title': None, 'action': '<mark>MAINTENANT,CHANTE</mark> Chaque fois que vous jouez une chanson, vous pouvez 1 <b>⬡</b>pour piocher une carte.', 'flavour': '""Chanter est un merveilleux passe-temps...à condition d\'avoir la voix qu\'il faut."" - Ursula', 'image': 'https://images.lorcania.com/cards/tfc/34_fr_ursulas_shell_necklace-716.webp'}}"
124,Fan The Flames,,1,1,,,1,action,Ready chosen character. They can't quest for the rest of this turn.,"Pretty words can move a crowd, but so can ugly ones.",pen,0,Jenna Gray,2,EN,131,204,uncommon,https://images.lorcania.com/cards/tfc/131_en_fan_the_flames-716.webp,,14,1,0,2023-07-15T05:58:50.000000Z,2023-07-15T05:58:50.000000Z,['Action'],0.28,"{'id': 14, 'name': 'Beauty & the Beast', 'slug': 'beauty-and-the-beast', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FBeauty_and_the_Beast.png'}","{'EN': {'card_id': 124, 'language': 'EN', 'name': 'Fan The Flames', 'title': None, 'action': ""Ready chosen character. They can't quest for the rest of this turn."", 'flavour': 'Pretty words can move a crowd, but so can ugly ones.', 'image': 'https://images.lorcania.com/cards/tfc/131_en_fan_the_flames-716.webp'}, 'DE': {'card_id': 124, 'language': 'DE', 'name': 'Entfacht das Feuer!', 'title': None, 'action': 'Mache einen Charakter deiner Wahl bereit. Er kann in diesem Zug nicht erkunden.', 'flavour': 'Hübsche Worte können eine Menge bewegen - hässliche aber auch.', 'image': 'https://images.lorcania.com/cards/tfc/131_de_fan_the_flames-716.webp'}, 'FR': {'card_id': 124, 'language': 'FR', 'name': 'Attiser Les Flammes', 'title': None, 'action': ""Choisissez un personnage et redressez-le. Il ne peut pas être envoyé à l'aventure le reste de ce tour."", 'flavour': 'De belles paroles peuvent embraser les foules... tout comme les plus sournoises...', 'image': 'https://images.lorcania.com/cards/tfc/131_fr_fan_the_flames-716.webp'}}"
125,If It's Not Baroque,,3,0,,,2,action,Return an item card from your discard to your hand.,“. . . Don't fix it.”,book,0,Kenneth Anderson,2,EN,162,204,rare,https://images.lorcania.com/cards/tfc/162_en_if_its_not_baroque-716.webp,,14,1,0,2023-07-15T06:06:24.000000Z,2023-07-15T06:06:24.000000Z,['Action'],0.7,"{'id': 14, 'name': 'Beauty & the Beast', 'slug': 'beauty-and-the-beast', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FBeauty_and_the_Beast.png'}","{'EN': {'card_id': 125, 'language': 'EN', 'name': ""If It's Not Baroque"", 'title': None, 'action': 'Return an item card from your discard to your hand.', 'flavour': ""“. . . Don't fix it.”"", 'image': 'https://images.lorcania.com/cards/tfc/162_en_if_its_not_baroque-716.webp'}, 'DE': {'card_id': 125, 'language': 'DE', 'name': 'Ist es nicht Barock', 'title': None, 'action': 'Nimm 1 Gegenstandskarte aus deinem Ablagestapel zurück auf deine Hand.', 'flavour': '„... kriege keinen Schock.“', 'image': 'https://images.lorcania.com/cards/tfc/162_de_if_its_not_baroque-716.webp'}, 'FR': {'card_id': 125, 'language': 'FR', 'name': ""Si c'est pas baroque"", 'title': None, 'action': 'Reprenez en main une carte objet depuis votre défausse.', 'flavour': ""“. . . C'est du toc.”"", 'image': 'https://images.lorcania.com/cards/tfc/162_fr_if_its_not_baroque-716.webp'}}"
126,Break,,2,1,,,6,action,Banish chosen item.,No one throws a tantrum like a beast.,pen,0,Grace Tran,2,EN,196,204,common,https://images.lorcania.com/cards/tfc/196_en_break-716.webp,,14,1,0,2023-07-15T06:10:15.000000Z,2023-07-15T06:10:15.000000Z,['Action'],0.24,"{'id': 14, 'name': 'Beauty & the Beast', 'slug': 'beauty-and-the-beast', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FBeauty_and_the_Beast.png'}","{'EN': {'card_id': 126, 'language': 'EN', 'name': 'Break', 'title': None, 'action': 'Banish chosen item.', 'flavour': 'No one throws a tantrum like a beast.', 'image': 'https://images.lorcania.com/cards/tfc/196_en_break-716.webp'}, 'DE': {'card_id': 126, 'language': 'DE', 'name': 'Zerfetzen', 'title': None, 'action': 'Verbanne einen Gegenstand deiner Wahl.', 'flavour': 'Niemand verfällt so in Rage wie das Biest.', 'image': 'https://images.lorcania.com/cards/tfc/196_de_break-716.webp'}, 'FR': {'card_id': 126, 'language': 'FR', 'name': 'Déchiqueté', 'title': None, 'action': 'Choisissez un objet et banissez-le.', 'flavour': 'Personne ne pique une colère comme une bête.', 'image': 'https://images.lorcania.com/cards/tfc/196_fr_break-716.webp'}}"
127,Prince Phillip,Dragonslayer,4,0,3,3,4,glimmer,"<mark>HEROISM</mark> When this character challenges and is banished, you may banish the challenged character.","“The road to true love may be barred by still many more dangers, which you alone will have to face.” −Flora",book,2,Philipp Kruse,2,EN,16,204,uncommon,https://images.lorcania.com/cards/tfc/16_en_prince_phillip-716.webp,,5,1,0,2023-07-17T07:06:53.000000Z,2023-07-17T07:06:53.000000Z,"['Hero', 'Prince', 'Storyborn']",0.45,"{'id': 5, 'name': 'Sleeping Beauty', 'slug': 'sleeping-beauty', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FSleeping_Beauty.png'}","{'EN': {'card_id': 127, 'language': 'EN', 'name': 'Prince Phillip', 'title': 'Dragonslayer', 'action': '<mark>HEROISM</mark> When this character challenges and is banished, you may banish the challenged character.', 'flavour': '“The road to true love may be barred by still many more dangers, which you alone will have to face.” −Flora', 'image': 'https://images.lorcania.com/cards/tfc/16_en_prince_phillip-716.webp'}, 'DE': {'card_id': 127, 'language': 'DE', 'name': 'Prinz Phillip', 'title': 'Drachenbändiger', 'action': '<mark>HELDENTUM</mark> Wenn dieser Charakter einen anderen Charakter herausfordert und dadurch verbannt wird, darfst du den herausgeforderten Charakter verbannen.', 'flavour': '„Der Weg wahrer Liebe ist oft mit vielen Gefahren versperrt. Ihr müsst sie alle alleine bestehen“ - Flora', 'image': 'https://images.lorcania.com/cards/tfc/16_de_prince_phillip-716.webp'}, 'FR': {'card_id': 127, 'language': 'FR', 'name': 'Prince Philippe', 'title': 'Tueur de dragon', 'action': ""<mark>HEROÏSME</mark> Si ce personnage est défié et banni, vous pouvez bannir le personnage qui l'a défié."", 'flavour': '""Sur la route qui saura vous mener à l\'amour, il est de nombreux dangers qu\'il va vous falloir affronter."" - Flora', 'image': 'https://images.lorcania.com/cards/tfc/16_fr_prince_phillip-716.webp'}}"
128,Aladdin,Street Rat,3,1,2,2,1,glimmer,<mark>IMPROVISE</mark> When you play this character each opponent loses 1 lore.,"It can be hard to tell the difference between a diamond in the rough and someone who's just, well, rough.",pen,1,Peter Brockhammer,2,EN,105,204,common,https://images.lorcania.com/cards/tfc/105_en_aladdin-716.webp,,10,1,0,2023-07-17T07:11:05.000000Z,2023-07-17T07:11:05.000000Z,"['Hero', 'Storyborn']",0.25,"{'id': 10, 'name': 'Aladdin', 'slug': 'aladdin', 'brand': None, 'image': 'https://images.lorcania.com/site%2Ffranchises%2FAladdin.png'}","{'EN': {'card_id': 128, 'language': 'EN', 'name': 'Aladdin', 'title': 'Street Rat', 'action': '<mark>IMPROVISE</mark> When you play this character each opponent loses 1 lore.', 'flavour': ""It can be hard to tell the difference between a diamond in the rough and someone who's just, well, rough."", 'image': 'https://images.lorcania.com/cards/tfc/105_en_aladdin-716.webp'}, 'DE': {'card_id': 128, 'language': 'DE', 'name': 'Aladdin', 'title': 'Straßenjunge', 'action': '<mark>MIR WIRD SCHON WAS EINFALLEN</mark> Wenn du diesen Charakter ausspielst, verlieren alle gegnerischen Mitspielenden je 1 Legende.', 'flavour': 'Es ist oft schwer zu erkennen, wer ein Rohdiamant ist und wer einfach nur, nun ja, rau ist.', 'image': 'https://images.lorcania.com/cards/tfc/105_de_aladdin-716.webp'}, 'FR': {'card_id': 128, 'language': 'FR', 'name': 'Aladdin', 'title': 'Vaurien', 'action': '<mark>IMPROVISE</mark> Lorsque vous jouez ce personnage, chaque adversaire perd 1 éclat de Lore.', 'flavour': ""Il est parfois difficile de distinguer un diamant à l'état brut d'une personne qui… euh… est une brute."", 'image': 'https://images.lorcania.com/cards/tfc/105_fr_aladdin-716.webp'}}"
